Catalog Number,Scientific Name,Latitude - original,Longitude - original,Vernacular Name,Institution Code,Collection Code,locality
URN:CornellLabOfOrnithology:EBIRD:OBS257884643,Anthus novaeseelandiae,-25.8527778,133.3522222,Australasian Pipit,,,Finke Road at 25 51 10S 133 21 08E
URN:CornellLabOfOrnithology:EBIRD:OBS257884644,Certhionyx variegatus,-25.8527778,133.3522222,Pied Honeyeater,,,Finke Road at 25 51 10S 133 21 08E
URN:CornellLabOfOrnithology:EBIRD:OBS257884645,Gymnorhina tibicen,-25.8527778,133.3522222,Australasian Magpie,,,Finke Road at 25 51 10S 133 21 08E
URN:CornellLabOfOrnithology:EBIRD:OBS257884646,Taeniopygia guttata,-25.8527778,133.3522222,Zebra Finch,,,Finke Road at 25 51 10S 133 21 08E
URN:CornellLabOfOrnithology:EBIRD:OBS257884647,Artamus cinereus,-25.8527778,133.3522222,Black-faced Woodswallow,,,Finke Road at 25 51 10S 133 21 08E
URN:CornellLabOfOrnithology:EBIRD:OBS257884648,Lichenostomus virescens,-25.8527778,133.3522222,Singing Honeyeater,,,Finke Road at 25 51 10S 133 21 08E
,Nymphicus hollandicus,-25.84944,133.34277,Cockatiel,,,Roadside
,Melopsittacus undulatus,-25.84944,133.34277,Budgerigar,,,Roadside
,Manorina flavigula,-25.84944,133.34277,Yellow-throated Miner,,,Roadside
,Malurus lamberti,-25.84944,133.34277,Variegated Fairy-wren,,,Roadside
,Lichenostomus virescens,-25.84944,133.34277,Singing Honeyeater,,,Roadside
,Taeniopygia guttata,-25.84944,133.34277,Zebra Finch,,,Roadside
,Psophodes occidentalis,-25.84944,133.34277,Chiming Wedgebill,,,Roadside
,Oreoica gutturalis,-25.84944,133.34277,Crested Bellbird,,,Roadside
O.42260,Lichenostomus virescens forresti,-25.85,133.35,,AM,Ornithology,
,Cacomantis pallidus,-25.84944,133.34277,Pallid Cuckoo,,,Roadside
,Acanthagenys rufogularis,-25.84944,133.34277,Spiny-cheeked Honeyeater,,,Roadside
AD 97344252,Maireana georgei (Diels) Paul G.Wilson,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344253,Eremophila neglecta J.M.Black,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344254,Eremophila latrobei F.Muell. ssp. latrobei,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344255,Senna artemisioides (Gaudich. ex DC.) Randell ssp. artemisioides,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344257,Maireana appressa Paul G. Wilson,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344258,Sclerolaena cuneata Paul G.Wilson,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344261,Eriochiton sclerolaenoides (F.Muell.) F.Muell. ex A.J.Scott,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344277,Sclerolaena lanicuspis (F.Muell.) Benth.,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344278,Maireana trichoptera (J.M.Black) Paul G.Wilson,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344279,Atriplex vesicaria Heward ex Benth.,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
AD 97344280,Maireana astrotricha (L.A.S.Johnson) Paul G.Wilson,-25.866667,133.333333,,AD,AD,3 km S of Kulgera by Stuart Highway
MEL 1505509A,Maireana astrotricha (L.A.S.Johnson) Paul G.Wilson,-25.8667,133.3333,,MEL,MEL,3 km south of Kulgera by Stuart Highway.
DNA A0045229,Maireana trichoptera (J.M.Black) Paul G.Wilson,-25.86524808,133.3346195,,DNA,DNA,3km Sth Kulgera
HYM9468,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9469,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9470,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9471,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9472,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9473,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9474,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9475,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9481,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9482,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9483,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9484,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9485,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9486,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9487,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9488,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9489,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9490,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9491,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9492,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9493,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9494,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9495,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9496,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9497,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9498,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9499,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9500,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9501,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9502,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9503,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9504,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9505,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9506,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9507,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9508,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9509,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9510,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9511,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9512,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9513,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9514,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9515,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9116,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9117,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9118,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9119,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
HYM9120,Lasioglossum (Chilalictus) sororculum Walker,-25.85,133.35,Halictid bee,NMV,Entomology,Kulgera 10km E
,Lasioglossum sororculum,-25.85,133.35,,,,"NT. 10km E Kulgera, 18 Oct 1995, K. Walker, on Eremophila (NMV)"
